Puntos (N),Estimacion,Error
100,2.08,0.5865999999999998
200,2.08,0.5865999999999998
300,2.2133333333333334,0.4532666666666665
400,2.18,0.4865999999999997
500,2.168,0.4985999999999997
600,2.1866666666666665,0.4799333333333333
700,2.1942857142857144,0.47231428571428546
800,2.15,0.5166
900,2.1777777777777776,0.48882222222222227
1000,2.144,0.5225999999999997
1100,2.130909090909091,0.535690909090909
1200,2.12,0.5465999999999998
1300,2.1415384615384614,0.5250615384615385
1400,2.1514285714285712,0.5151714285714286
1500,2.168,0.4985999999999997
1600,2.175,0.49160000000000004
1700,2.183529411764706,0.4830705882352939
1800,2.1866666666666665,0.4799333333333333
1900,2.1936842105263157,0.4729157894736842
2000,2.194,0.4725999999999999
2100,2.2,0.4665999999999997
2200,2.2145454545454544,0.4520545454545455
2300,2.210434782608696,0.456165217391304
2400,2.21,0.4565999999999999
2500,2.192,0.4745999999999997
2600,2.1984615384615385,0.4681384615384614
2700,2.1955555555555555,0.4710444444444444
2800,2.18,0.4865999999999997
2900,2.169655172413793,0.4969448275862067
3000,2.1706666666666665,0.49593333333333334
3100,2.166451612903226,0.500148387096774
3200,2.16625,0.5003500000000001
3300,2.1672727272727275,0.4993272727272724
3400,2.171764705882353,0.4948352941176468
3500,2.1725714285714286,0.49402857142857126
3600,2.167777777777778,0.49882222222222206
3700,2.1686486486486487,0.49795135135135116
3800,2.163157894736842,0.5034421052631579
3900,2.161025641025641,0.5055743589743589
4000,2.149,0.5175999999999998
4100,2.153170731707317,0.5134292682926827
4200,2.143809523809524,0.522790476190476
4300,2.1451162790697675,0.5214837209302323
4400,2.148181818181818,0.5184181818181819
4500,2.1457777777777776,0.5208222222222223
4600,2.1443478260869564,0.5222521739130435
4700,2.1429787234042554,0.5236212765957444
4800,2.135,0.5316000000000001
4900,2.1330612244897957,0.5335387755102041
5000,2.1344,0.5322
5100,2.135686274509804,0.5309137254901959
5200,2.1353846153846154,0.5312153846153844
5300,2.1366037735849055,0.5299962264150944
5400,2.1444444444444444,0.5221555555555555
5500,2.1418181818181816,0.5247818181818182
5600,2.1435714285714287,0.5230285714285712
5700,2.143157894736842,0.5234421052631579
5800,2.1462068965517243,0.5203931034482756
5900,2.151864406779661,0.514735593220339
6000,2.1426666666666665,0.5239333333333334
6100,2.143606557377049,0.5229934426229508
6200,2.1438709677419356,0.5227290322580642
6300,2.146031746031746,0.5205682539682539
6400,2.143125,0.5234749999999999
6500,2.1409230769230767,0.5256769230769232
6600,2.136969696969697,0.5296303030303027
6700,2.128955223880597,0.5376447761194028
6800,2.128823529411765,0.5377764705882351
6900,2.12231884057971,0.5442811594202897
7000,2.1205714285714286,0.5460285714285713
7100,2.1205633802816903,0.5460366197183095
7200,2.1222222222222222,0.5443777777777776
7300,2.1254794520547944,0.5411205479452055
7400,2.128108108108108,0.538491891891892
7500,2.1248,0.5417999999999998
7600,2.1242105263157893,0.5423894736842105
7700,2.1246753246753247,0.5419246753246751
7800,2.124102564102564,0.5424974358974359
7900,2.122025316455696,0.5445746835443037
8000,2.125,0.5415999999999999
8100,2.122962962962963,0.5436370370370369
8200,2.124878048780488,0.5417219512195119
8300,2.1248192771084335,0.5417807228915663
8400,2.1219047619047617,0.5446952380952381
8500,2.1190588235294117,0.5475411764705882
8600,2.121860465116279,0.5447395348837207
8700,2.1245977011494253,0.5420022988505746
8800,2.1218181818181816,0.5447818181818183
8900,2.119550561797753,0.5470494382022468
9000,2.1213333333333333,0.5452666666666666
9100,2.1213186813186815,0.5452813186813183
9200,2.118695652173913,0.547904347826087
9300,2.118279569892473,0.5483204301075268
9400,2.1148936170212767,0.5517063829787232
9500,2.112421052631579,0.5541789473684209
9600,2.11625,0.5503499999999999
9700,2.113814432989691,0.552785567010309
9800,2.113469387755102,0.5531306122448978
9900,2.1155555555555554,0.5510444444444444
10000,2.1168,0.5497999999999998
10000,2.1168,0.5497999999999998
